id;nom;prenom;telephone
1;mobile Fish;Home Loan Account Table Computer;(483) 617-6009
2;parsing red Chips;Money Market Account;504-025-6310 x2932
3;Licensed Savings Account;Cambridgeshire Mississippi;866-140-0999
4;cross-platform access;Public-key;461-648-0193
5;Tuna;hardware Costa Rica Mayotte;098.749.3895
6;National Awesome sky blue;Tactics;372-585-3926 x52128
7;Small;deliverables reinvent 24 hour;817-777-7609
8;deposit Internal;Investment Account archive Fantastic Plastic Chicken;1-675-628-5431
9;bus synthesize Idaho;Networked Sleek Metal Table Small;120-864-3556 x912
10;relationships override;Brand;261.896.8261 x848
